From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
6H40	K5B7F3	reviewed	MET1_MYCHD	MMP 1-O-methyltransferase (EC 2.1.1.365) (3-O-methylmannose polysaccharide 1-O-methyltransferase)	meT1 C731_4163 MHAS_04405	Mycolicibacterium hassiacum (strain DSM 44199 / CIP 105218 / JCM 12690 / 3849) (Mycobacterium hassiacum)	218
4LVP	Q68RJ5	reviewed	IFT81_CHLRE	Intraflagellar transport protein 81	IFT81 CHLREDRAFT_138649	Chlamydomonas reinhardtii (Chlamydomonas smithii)	683
3BWH	P84531	reviewed	RIP_CUCMO	Ribosome-inactivating protein cucurmosin (EC 3.2.2.22) (rRNA N-glycosidase)		Cucurbita moschata (Winter crookneck squash) (Cucurbita pepo var. moschata)	244
3BWH	D0VWS7	unreviewed	D0VWS7_CUCMO	rRNA N-glycosylase (EC 3.2.2.22)		Cucurbita moschata (Winter crookneck squash) (Cucurbita pepo var. moschata)	245
3BY8	P0AEC8	reviewed	DCUS_ECOLI	Sensor histidine kinase DcuS (EC 2.7.13.3) (Fumarate sensor)	dcuS yjdH b4125 JW4086	Escherichia coli (strain K12)	543
3JS8	B5MGF8	unreviewed	B5MGF8_9NEIS	Cholesterol oxidase	cho	Chromobacterium sp. DS-1	584
4KP1	P81291	reviewed	LEUC_METJA	Isopropylmalate/citramalate isomerase large subunit (EC 4.2.1.33) (EC 4.2.1.35) ((R)-2-methylmalate dehydratase) ((R)-citramalate dehydratase) (3-isopropylmalate dehydratase) (Alpha-isopropylmalate dehydratase) (Citraconate hydratase) (Isopropylmalate isomerase) (IPMI) (Maleate hydratase) (Malease) (EC 4.2.1.31)	leuC MJ0499	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	424
3KA7	Q8PU56	unreviewed	Q8PU56_METMA	Putative oxidoreductase	MM_2493	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	425
2HC8	O29777	reviewed	COPA_ARCFU	Probable copper-exporting P-type ATPase (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA pacS AF_0473	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	804
4C6S	P0DKH5	reviewed	WRK52_ARATH	Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52)	RRS1 RCH2 RRS1-S RSH4 SLH1 WRKY52 At5g45260/At5g45270 K9E15.2/K9E15.3	Arabidopsis thaliana (Mouse-ear cress)	1288
3BXV	Q977W3	unreviewed	Q977W3_9CREN	Sulfur oxygenase/reductase		Acidianus tengchongensis	308
3D00	Q2LQ23	unreviewed	Q2LQ23_SYNAS	Tungsten formylmethanofuran dehydrogenase subunit E	SYN_00638	Syntrophus aciditrophicus (strain SB)	190
4LUA	A0A0H3JYD9	unreviewed	A0A0H3JYD9_STAAM	N-acetyltransferase domain-containing protein	SAV0826	Staphylococcus aureus (strain Mu50 / ATCC 700699)	164
5FU5	A0A1A9TA81	unreviewed	A0A1A9TA81_RUMFL	Cbm77-rfpl		Ruminococcus flavefaciens	123
6OZW	Q8DUD3	unreviewed	Q8DUD3_STRMU	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	topA SMU_1002	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	705
4J5T	P53008	reviewed	CWH41_YEAST	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I) (Glucosidase I)	CWH41 GLS1 YGL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833
3FED	Q9Y3Q0	reviewed	NALD2_HUMAN	N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II)	NAALAD2	Homo sapiens (Human)	740
3SD2	Q8A1T7	unreviewed	Q8A1T7_BACTN	DUF3244 domain-containing protein	BT_3571	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	118
5LJX	P08668	reviewed	GP_HANTV	Envelopment polyprotein (Glycoprotein precursor) (M polyprotein) [Cleaved into: Glycoprotein N (Gn) (Glycoprotein G1); Glycoprotein C (Gc) (Glycoprotein G2)]	GP	Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus)	1135
3CCY	Q7W6R8	unreviewed	Q7W6R8_BORPA	TetR-family transcriptional regulator	BPP2833	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	200
3IMK	Q2LU76	unreviewed	Q2LU76_SYNAS	Hypothetical cytosolic protein	SYN_02013	Syntrophus aciditrophicus (strain SB)	157
1WWI	Q5SI95	unreviewed	Q5SI95_THET8	DUF1931 family protein	TTHA1479	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	148
4EZI	Q5ZWI2	unreviewed	Q5ZWI2_LEGPH	Alpha/beta hydrolase	lpg1103	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	403
3G9G	P25623	reviewed	SYP1_YEAST	Suppressor of yeast profilin deletion	SYP1 YCR030C YCR30C/YCR29C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	870
1NZN	Q9Y3D6	reviewed	FIS1_HUMAN	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	Homo sapiens (Human)	152
4YDS	Q4J9K9	unreviewed	Q4J9K9_SULAC	Flagella-related protein H	Saci_1174	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	228
2OML	P75966	reviewed	RLUE_ECOLI	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)	rluE ymfC b1135 JW1121	Escherichia coli (strain K12)	217
6N9M	Q8ZPL9	reviewed	ADD_SALTY	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	add STM1463	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	333
4W9Z	H7C6E5	unreviewed	H7C6E5_BRADU	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)	coxB	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	279
6FJV	E6N8B9	unreviewed	E6N8B9_CALS0	26S proteasome regulatory subunit N11-like protein	CSUB_C1473 HGMM_F04B03C04 HGMM_F21D07C20 HGMM_F30C12C32	Caldiarchaeum subterraneum	202
5N0K	P13635	reviewed	CERU_RAT	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	Cp	Rattus norvegicus (Rat)	1059
1TUH	Q99IU3	unreviewed	Q99IU3_9BACT	SnoaL-like domain-containing protein		uncultured bacterium	149
2CIB	P9WPP9	reviewed	CP51_MYCTU	Sterol 14alpha-demethylase (EC 1.14.15.36) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	cyp51 Rv0764c MTCY369.09c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	451
4HTE	O87361	unreviewed	O87361_STAAU	MobA/MobL family protein (Nicking enzyme) (OriT nickase) (OriT nickase Nes) (OriT relaxase Nes)	nes BN1321_460007 GO782_04285 GQX37_05950 PGO1_p08 SAMEA2078260_02856 SAMEA2080903_02911 SAMEA2081063_02873 SAMEA4008671_02707 SAP014A_018 SAP015D_002 SAP068A_007 SAP069A_033 SAP079A_020 SAP080A_038 SAP082A_025 VRA0057	Staphylococcus aureus	665
5YVK	V5TER4	unreviewed	V5TER4_FISAU	12-epi-hapalindole U synthase (AmbU4)		Fischerella ambigua (strain UTEX 1903)	235
5EP2	Q1ZS18	unreviewed	Q1ZS18_PHOAS	Putative repressor protein luxO	VAS14_05548	Photobacterium angustum (strain S14 / CCUG 15956) (Vibrio sp. (strain S14 / CCUG 15956))	480
2GS5	Q6NEA9	unreviewed	Q6NEA9_CORDI	YqgE/AlgH family protein	DIP2367	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	198
2RFR	A4XF70	unreviewed	A4XF70_NOVAD	SnoaL-like domain-containing protein	Saro_3722	Novosphingobium aromaticivorans (strain ATCC 700278 / DSM 12444 / CCUG 56034 / CIP 105152 / NBRC 16084 / F199)	166
3CK2	A0A0H2URP5	unreviewed	A0A0H2URP5_STRPN	Phosphoesterase (EC 3.1.4.-)	SP_1879	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	173
2B0C	P0A8Y3	reviewed	YIHX_ECOLI	Alpha-D-glucose 1-phosphate phosphatase YihX (Alpha-D-glucose-1-P phosphatase) (EC 3.1.3.10) (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4) (HAD4)	yihX b3885 JW5566	Escherichia coli (strain K12)	199
4W9W	Q9NSY1	reviewed	BMP2K_HUMAN	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017	Homo sapiens (Human)	1161
4WPK	P9WFQ9	reviewed	UNG_MYCTU	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung Rv2976c MTCY349.11	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	227
5J80	P07900	reviewed	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	732
5HGZ	Q9H7X0	reviewed	NAA60_HUMAN	N-alpha-acetyltransferase 60 (hNaa60) (EC 2.3.1.259) (Histone acetyltransferase type B protein 4) (HAT4) (EC 2.3.1.48) (N-acetyltransferase 15) (N-alpha-acetyltransferase F) (NatF)	NAA60 HAT4 NAT15 UNQ2771/PRO7155	Homo sapiens (Human)	242
6GKA	Q0I9X8	unreviewed	Q0I9X8_SYNS3	Ferritin (EC 1.16.3.2)	sync_1539	Synechococcus sp. (strain CC9311)	182
1NND	P03355	reviewed	POL_MLVMS	Gag-Pol polyprotein (Pr180gag-pol) [Cleaved into: Matrix protein p15 (MA); RNA-binding phosphoprotein p12 (pp12); Capsid protein p30 (CA); Nucleocapsid protein p10-Pol (NC-pol); Protease (PR) (EC 3.4.23.-) (p14); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p80); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p46)]	gag-pol	Moloney murine leukemia virus (isolate Shinnick) (MoMLV)	1738
2E1F	Q14191	reviewed	WRN_HUMAN	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 3.6.4.12)]	WRN RECQ3 RECQL2	Homo sapiens (Human)	1432
3PHS	Q8E0S8	unreviewed	Q8E0S8_STRA5	Cell wall surface anchor family protein	SAG0646	Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R)	307
4FLB	Q5VT52	reviewed	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2 KIAA0460 HSPC099	Homo sapiens (Human)	1461
6GRL	I0UYD6	unreviewed	I0UYD6_9PSEU	Beta-hydroxyacid dehydrogenase, 3-hydroxyisobutyrate dehydrogenase	SacxiDRAFT_0617	Saccharomonospora xinjiangensis XJ-54	299
3H6Q	B9V973	reviewed	MCP1A_MACPC	Macrocypin-1a		Macrolepiota procera (Parasol mushroom)	169
6N1L	O50835	unreviewed	O50835_BORBU	Fibronectin-binding protein BBK32	bbk32 BB_K32	Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi)	354
1X6O	A4HE05	unreviewed	A4HE05_LEIBR	Eukaryotic translation initiation factor 5A (eIF-5A)	EIF5A1 EIF5A2 LBRM_25_0580 LBRM_25_0590 LBRM_25_0600 LBRM_25_0610	Leishmania braziliensis	166
4FR9	A0A0K6BSL6	unreviewed	A0A0K6BSL6_BACFN	Protein of uncharacterized function (DUF2874)	BF9343_1154 NCTC9343_02806	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow)	166
3JUI	Q13144	reviewed	EI2BE_HUMAN	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)	EIF2B5 EIF2BE	Homo sapiens (Human)	721
4MDA	Q7JQ07	reviewed	MOS1T_DROMA	Mariner Mos1 transposase (EC 3.1.-.-) (Transposable element Mos1 transposase)	mariner\T	Drosophila mauritiana (Fruit fly)	345
4GXT	C7RF86	unreviewed	C7RF86_ANAPD	Haloacid dehalogenase-like hydrolase	Apre_0094	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / NCTC 11806 / PC1) (Peptostreptococcus prevotii) (Peptococcus prevotii)	382
4TQ2	L1JFC7	unreviewed	L1JFC7_GUITC	Putative phycoerythrin lyase	GUITHDRAFT_191403	Guillardia theta (strain CCMP2712) (Cryptophyte)	253
2W18	Q86YC2	reviewed	PALB2_HUMAN	Partner and localizer of BRCA2	PALB2 FANCN	Homo sapiens (Human)	1186
1HN0	P59807	reviewed	CABC1_PROVU	Chondroitin sulfate ABC endolyase (EC 4.2.2.20) (Chondroitin ABC endoeliminase) (Chondroitin ABC lyase I) (Chondroitin sulfate ABC lyase I) (ChS ABC lyase I) (Chondroitinase ABC I) (cABC I) (Endochondroitinase ABC) (Condoliase)		Proteus vulgaris	1021
3L8W	Q00511	reviewed	URIC_ASPFL	Uricase (EC 1.7.3.3) (Rasburicase) (Urate oxidase)	uaZ Uox	Aspergillus flavus	302
4GMO	G0S5S6	unreviewed	G0S5S6_CHATD	ARM-like repeat-containing protein	CTHT_0033460	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	676
4GA2	H2QII6	reviewed	RBP2_PANTR	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2)	RANBP2 NUP358	Pan troglodytes (Chimpanzee)	3224
2CIW	P04963	reviewed	PRXC_LEPFU	Chloroperoxidase (EC 1.11.1.10) (Chloride peroxidase) (CPO)	CPO	Leptoxyphium fumago (Caldariomyces fumago)	373
3PV7	Q68D85	reviewed	NR3L1_HUMAN	Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6)	NCR3LG1 B7H6	Homo sapiens (Human)	454
2R39	Q87KC5	unreviewed	Q87KC5_VIBPA	FixG-related protein	VP3052	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	487
3HZ7	Q24NB0	unreviewed	Q24NB0_DESHY	UPF0033 domain-containing protein	DSY4693	Desulfitobacterium hafniense (strain Y51)	197
2Q3T	Q9LUJ3	reviewed	RDM1_ARATH	Protein RDM1 (Protein RNA-directed DNA methylation 1)	RDM1 At3g22680 MWI23.5	Arabidopsis thaliana (Mouse-ear cress)	163
5J71	Q15119	reviewed	PDK2_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)	PDK2 PDHK2	Homo sapiens (Human)	407
3RIP	Q9UGJ1	reviewed	GCP4_HUMAN	Gamma-tubulin complex component 4 (GCP-4) (hGCP4) (Gamma-ring complex protein 76 kDa) (h76p) (hGrip76)	TUBGCP4 76P GCP4	Homo sapiens (Human)	667
3SEE	Q89ZG6	unreviewed	Q89ZG6_BACTN	DUF4627 domain-containing protein	BT_4411	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	233
3I2V	O95396	reviewed	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]	MOCS3 UBA4	Homo sapiens (Human)	460
1XAK	P59635	reviewed	NS7A_SARS	ORF7a protein (Accessory protein 7a) (Protein U122) (Protein X4)	7a	Severe acute respiratory syndrome coronavirus (SARS-CoV)	122
3V7N	Q2SWH9	unreviewed	Q2SWH9_BURTA	Threonine synthase (EC 4.2.3.1)	thrC BTH_I2199	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CCUG 48851 / CIP 106301 / E264)	483
5HYZ	Q53K16	reviewed	SCL7_ORYSJ	SCARECROW-LIKE protein 7 (Os-SCL7)	SCL7 LOC_Os03g51330 Os03g0723000	Oryza sativa subsp. japonica (Rice)	578
6H7T	A0A024S820	unreviewed	A0A024S820_HYPJR	Soluble quino protein glucose dehydrogenase	M419DRAFT_36756	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)	512
4IUS	D2PUG5	unreviewed	D2PUG5_KRIFD	GCN5-related N-acetyltransferase	Kfla_0359	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	258
4TQX	Q8CM62	unreviewed	Q8CM62_STRMG	Sortase (Sortase A)	srtA	Streptococcus mutans	246
4BSP	Q2MKA7	reviewed	RSPO1_HUMAN	R-spondin-1 (Roof plate-specific spondin-1) (hRspo1)	RSPO1	Homo sapiens (Human)	263
6NZT	S4UY05	unreviewed	S4UY05_9HEPC	Genome polyprotein		hepatitis C virus genotype 1a	3001
1R8I	Q9L6G5	unreviewed	Q9L6G5_ECOLX	TraC		Escherichia coli	237
4Q98	P59914	reviewed	FIMA_PORGI	Major fimbrium subunit FimA type-4 (Fimbrillin) (Fimbrilin) (Major fimbrial subunit protein type-4) (FimA4)	fimA PG_2132	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)	388
2QNI	A9CKF0	unreviewed	A9CKF0_AGRFC	Histidine phosphatase family protein	Atu0299	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	198
6ENO	Q3AET9	unreviewed	Q3AET9_CARHZ	Dehydratase family protein	CHY_0487	Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901)	421
2HXT	Q8P3K2	reviewed	FUCD_XANCP	L-fuconate dehydratase (FucD) (EC 4.2.1.68)	XCC4069	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	441
2A1I	P07992	reviewed	ERCC1_HUMAN	DNA excision repair protein ERCC-1	ERCC1	Homo sapiens (Human)	297
4DJA	A9CH39	reviewed	PHRB_AGRFC	(6-4) photolyase (EC 4.1.99.13) ((6-4)DNA photolyase) (DNA photolyase PhrB) (Photoreactivating enzyme PhrB)	phrB Atu4765	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	507
2CXC	Q9YAU4	unreviewed	Q9YAU4_AERPE	Probable transcription termination protein NusA	nusA APE_1850	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	144
3QVP	P13006	reviewed	GOX_ASPNG	Glucose oxidase (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase) (Glucose oxyhydrase) (GOD)	gox	Aspergillus niger	605
2XWV	P44542	reviewed	SIAP_HAEIN	Sialic acid-binding periplasmic protein SiaP (Extracytoplasmic solute receptor protein SiaP) (N-acetylneuraminic-binding protein) (Neu5Ac-binding protein)	siaP HI_0146	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	329
3ZT9	Q2RIF7	unreviewed	Q2RIF7_MOOTA	Serine phosphatase	Moth_1472	Moorella thermoacetica (strain ATCC 39073 / JCM 9320)	193
3B0G	Q76KB0	unreviewed	Q76KB0_TOBAC	Nitrite reductase (EC 1.7.7.1)	nii3	Nicotiana tabacum (Common tobacco)	587
3BZC	Q9HTY8	unreviewed	Q9HTY8_PSEAE	S1 motif domain-containing protein	PA5201	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	779
6OGH	Q1HRL7	unreviewed	Q1HRL7_AEDAE	Odorant binding protein	5567053	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	138
4CCS	A0A023GPI5	unreviewed	A0A023GPI5_PARPN	CBIX		Paracoccus pantotrophus (Thiosphaera pantotropha)	231
3MB5	Q9V1J7	reviewed	TRMI_PYRAB	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.219) (tRNA(m1A57/58)-methyltransferase)	trmI pimT-like PYRAB04300 PAB0283	Pyrococcus abyssi (strain GE5 / Orsay)	253
5EHA	G1K3P4	unreviewed	G1K3P4_AGABI	Lectin-like fold protein		Agaricus bisporus (White button mushroom)	150
1P0H	P9WJM7	reviewed	MSHD_MYCTU	Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase)	mshD Rv0819	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	315
3NZM	P74750	reviewed	DPO3A_SYNY3	DNA polymerase III subunit alpha (EC 2.7.7.7) [Cleaved into: Ssp dnaE intein]	dnaE-N slr0603; dnaE-C sll1572	Synechocystis sp. (strain PCC 6803 / Kazusa)	1355
6QLL	A0A072ZCW8	unreviewed	A0A072ZCW8_PSEAI	Flavin prenyltransferase UbiX (EC 2.5.1.129)	ubiX CAZ10_26235 CGU42_07325 DT376_15100 GNQ48_15570 GUL26_00020 IPC1295_14740 IPC737_17625 JTL35_004665 PA52Ts2_5410 PAERUG_P19_London_7_VIM_2_05_10_06717	Pseudomonas aeruginosa	209
3TUT	P46849	reviewed	RTCA_ECOLI	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4)	rtcA yhgJ yhgK b4475 JW5688	Escherichia coli (strain K12)	338
3TBD	Q96CW9	reviewed	NTNG2_HUMAN	Netrin-G2 (Laminet-2)	NTNG2 KIAA1857 LMNT2 UNQ9381/PRO34206	Homo sapiens (Human)	530
2P65	Q8IB03	unreviewed	Q8IB03_PLAF7	Chaperone protein ClpB1	PF3D7_0816600	Plasmodium falciparum (isolate 3D7)	1070
6GHT	O69061	reviewed	HTXB_STUST	Probable phosphite transport system-binding protein HtxB	htxB	Stutzerimonas stutzeri (Pseudomonas stutzeri)	298
3NPD	Q9HY15	unreviewed	Q9HY15_PSEAE	Secreted protein	PA3611	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	136
5VUG	P9WLF1	reviewed	Y2277_MYCTU	Uncharacterized protein Rv2277c	Rv2277c MTCY339.33	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	301
1NIG	Q9HIT9	unreviewed	Q9HIT9_THEAC	DUF1940 domain-containing protein	Ta1238	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	152
5UBA	Q96CM3	reviewed	RUSD4_HUMAN	Pseudouridylate synthase RPUSD4, mitochondrial (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 4)	RPUSD4	Homo sapiens (Human)	377
2OZT	Q8DJP8	reviewed	MENC_THEVB	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	menC tlr1174	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	322
3MT0	Q9I2V3	unreviewed	Q9I2V3_PSEAE	UspA domain-containing protein	PA1789	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	287
2XIO	Q6P1N9	reviewed	TATD1_HUMAN	Deoxyribonuclease TATDN1 (EC 3.1.21.-) (Hepatocarcinoma high expression protein)	TATDN1 CDA11	Homo sapiens (Human)	297
5EL9	O23346	reviewed	HIS5B_ARATH	Imidazoleglycerol-phosphate dehydratase 2, chloroplastic (IGPD 2) (EC 4.2.1.19) (Protein HISTIDINE BIOSYNTHESIS 5B)	HISN5B At4g14910 dl3495c	Arabidopsis thaliana (Mouse-ear cress)	272
4XLT	C6VVW9	unreviewed	C6VVW9_DYAFD	Response regulator receiver protein	Dfer_0154	Dyadobacter fermentans (strain ATCC 700827 / DSM 18053 / CIP 107007 / KCTC 52180 / NS114)	130
2X9Z	A0A0H2UNM7	unreviewed	A0A0H2UNM7_STRPN	Cell wall surface anchor family protein	SP_0463	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	665
3KFO	P36161	reviewed	NU133_YEAST	Nucleoporin NUP133 (Nuclear pore protein NUP133)	NUP133 RAT3 YKR082W YKR402	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1157
5HCN	P47122	reviewed	GPN1_YEAST	GPN-loop GTPase 1 (EC 3.6.5.-) (Essential PCL1-interacting ATPase 1) (GPN-loop GTPase NPA3) (Nucleolar preribosomal-associated protein 3)	NPA3 EPA1 GPN1 YJR072C J1821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
3R0N	Q92692	reviewed	NECT2_HUMAN	Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor-related protein 2) (CD antigen CD112)	NECTIN2 HVEB PRR2 PVRL2	Homo sapiens (Human)	538
4QMH	Q9VEZ3	reviewed	MSPS_DROME	Protein mini spindles	msps CG5000	Drosophila melanogaster (Fruit fly)	2042
6OHK	Q8RFH4	unreviewed	Q8RFH4_FUSNN	Flavodoxin	FN0724	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355)	167
3IIB	A1S420	unreviewed	A1S420_SHEAM	Peptidase M28	Sama_0919	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	467
1NJR	Q04299	reviewed	YMX7_YEAST	Probable ADP-ribose 1''-phosphate phosphatase YML087W (EC 3.1.3.84)	YMR087W YM9582.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	284
